,Territorio,NC_   -  0,NC_  0- 10,NC_ 10- 15,NC_ 15- 26,NC_ 26- 55,NC_ 55- 75,NC_ 75-120,NC_120-inf,Income_tot
5071,Pietra de' Giorgi,0.0,222.0,95.0,155.0,121.0,8.0,6.0,0.0,10576346.0
5072,Pietrabbondante,0.0,227.0,108.0,114.0,74.0,0.0,0.0,0.0,7074083.0
5073,Pietrabruna,0.0,137.0,58.0,63.0,45.0,0.0,0.0,0.0,4165184.0
5074,Pietracamela,0.0,96.0,21.0,55.0,35.0,0.0,0.0,0.0,2871074.0
5075,Pietracatella,0.0,356.0,158.0,197.0,92.0,0.0,0.0,0.0,10395698.0
5076,Pietracupa,0.0,89.0,36.0,39.0,16.0,0.0,0.0,0.0,2169153.0
5077,Pietradefusi,0.0,510.0,175.0,287.0,209.0,19.0,9.0,0.0,19485155.0
5078,Pietraferrazzana,0.0,33.0,15.0,29.0,15.0,0.0,0.0,0.0,1395193.0
5079,Pietrafitta,0.0,323.0,94.0,183.0,105.0,0.0,0.0,0.0,9684616.0
5080,Pietragalla,0.0,831.0,419.0,917.0,461.0,21.0,12.0,6.0,46152793.0
5081,Pietralunga,0.0,457.0,267.0,545.0,211.0,11.0,5.0,0.0,24829153.0
5082,Pietramelara,0.0,1110.0,377.0,637.0,414.0,37.0,22.0,0.0,41222324.0
5083,Pietramontecorvino,0.0,634.0,300.0,443.0,233.0,11.0,8.0,0.0,24759303.0
5084,Pietranico,0.0,132.0,54.0,102.0,44.0,0.0,0.0,0.0,4621614.0
5085,Pietrapaola,0.0,430.0,141.0,148.0,55.0,5.0,0.0,0.0,8972120.0
5086,Pietrapertosa,0.0,352.0,157.0,163.0,54.0,0.0,0.0,0.0,8301344.0
5087,Pietraperzia,0.0,2075.0,717.0,770.0,443.0,25.0,12.0,4.0,50807449.0
5088,Pietraporzio,0.0,19.0,20.0,23.0,10.0,0.0,0.0,0.0,1124116.0
5089,Pietraroja,0.0,224.0,72.0,65.0,27.0,0.0,0.0,0.0,4131726.0
5090,Pietrarubbia,0.0,142.0,83.0,156.0,59.0,4.0,0.0,0.0,7157285.0
5091,Pietrasanta,6.0,5222.0,2389.0,4743.0,3248.0,382.0,324.0,167.0,350262461.0
5092,Pietrastornina,0.0,364.0,165.0,235.0,127.0,11.0,5.0,0.0,13777458.0
5093,Pietravairano,0.0,687.0,296.0,457.0,275.0,13.0,11.0,0.0,27180400.0
5094,Pietrelcina,0.0,873.0,262.0,404.0,320.0,13.0,11.0,0.0,28477833.0
5095,Pieve Albignola,0.0,131.0,79.0,257.0,129.0,7.0,6.0,0.0,12228241.0
5096,Pieve Emanuele,0.0,2299.0,1380.0,3761.0,3399.0,199.0,101.0,47.0,252243014.0
5097,Pieve Fissiraga,0.0,311.0,131.0,415.0,298.0,35.0,23.0,15.0,29662526.0
5098,Pieve Fosciana,0.0,491.0,211.0,570.0,408.0,19.0,15.0,5.0,33260872.0
5099,Pieve Ligure,0.0,454.0,170.0,403.0,537.0,111.0,82.0,64.0,67330777.0
5100,Pieve Porto Morone,0.0,482.0,280.0,720.0,373.0,24.0,27.0,7.0,38260118.0
5101,Pieve San Giacomo,0.0,251.0,138.0,437.0,236.0,15.0,12.0,0.0,21855430.0
5102,Pieve Santo Stefano,0.0,529.0,345.0,870.0,493.0,28.0,19.0,12.0,46905772.0
5103,Pieve Tesino,0.0,139.0,77.0,199.0,131.0,8.0,6.0,0.0,11079898.0
5104,Pieve Torina,0.0,250.0,152.0,334.0,139.0,15.0,9.0,0.0,16274737.0
5105,Pieve Vergonte,0.0,462.0,233.0,652.0,357.0,16.0,4.0,4.0,32363041.0
5106,Pieve a Nievole,0.0,1846.0,1023.0,2198.0,1167.0,115.0,53.0,28.0,123588366.0
5107,Pieve d'Olmi,0.0,173.0,122.0,352.0,221.0,11.0,8.0,0.0,18559038.0
